EmployeeID,EmployeeName,Age,Years_of_Experience,Department,Monthly_Salary,Income_Tax,PF_Contribution,Insurance_Deduction,Other_Deductions,Net_Salary,Rent_Expense,Grocery_Expense,EMI_or_Loan_Payment,Entertainment_Expense,Other_Expenses,Total_Expenditure,Savings_Amount,Investments,Class
EMP02570,Riya Mundra,52,22,Product Management,203037,25911,12182,3686,1332,159926,0,20028,33438,5732,3497,62695,66564,4680,Medium
EMP02571,Dev Rawat,32,7,Marketing,65209,1594,3913,1533,1625,56544,18441,7254,9652,10499,4912,50758,750,791,Low
EMP02572,Khushi Nikita Suri,55,30,IT,150000,13333,9000,2359,1561,123747,0,19540,28903,19211,9387,77041,5058,7006,Low
EMP02573,Hemant Goel,51,22,Marketing,85531,3553,5132,1336,1753,73757,0,12224,0,5585,3140,20949,23269,7199,High
EMP02574,Sonali Nair,24,3,Data Science,92154,4215,5529,2139,2084,78187,14922,5766,0,6454,3054,30196,15163,14557,High
EMP02575,Sumit Muskan Shukla,32,7,Data Science,107253,6088,6435,2732,2091,89907,21427,14947,0,6717,3948,47039,16628,4145,Medium
EMP02576,Ashish Narang,43,19,Finance,111371,6706,6682,2854,1549,93580,18295,13130,12271,3259,2919,49874,27766,3174,Medium
EMP02577,Amit Daga,25,1,Marketing,53856,1026,3231,751,1237,47611,10511,5877,7681,1965,2317,28351,5958,6776,Medium
EMP02578,Vikram Amit Mohanty,52,24,IT,141027,11539,8462,3550,1813,115663,0,15967,30941,4087,2347,53342,38624,3892,Medium
EMP02579,Ayaan Nagpal,51,37,Sales,85000,3500,5100,1540,1595,73265,25776,13326,10025,13850,7182,70159,676,292,Low
EMP02580,Mayank Bagri,23,2,Customer Support,38215,244,2293,1164,1913,32601,5840,2740,35,2386,1270,12271,12942,1831,Medium
EMP02581,Rupal Narang,45,23,Finance,118864,7830,7132,3195,1371,99336,26417,16230,0,8125,5856,56628,16030,4847,Medium
EMP02582,Rajat Bansal,43,21,IT,126819,9023,7609,3693,2303,104191,8116,15652,4316,16341,7381,51806,5533,8288,Medium
EMP02583,Karan Naidu,46,23,Product Management,192148,23037,11529,3000,1815,152767,49285,20924,0,22896,9567,102672,10941,5168,Medium
EMP02584,Tanvi Siddharth Srivastava,59,26,IT,138686,11071,8321,2623,1348,115323,28271,14837,11121,5326,3377,62932,11575,20061,High
EMP02585,Khushi Sandhu,39,13,IT,116311,7447,6979,3601,1635,96649,20419,14207,0,4091,4161,42878,12337,22621,Medium
EMP02586,Divya Tomar,48,27,Operations,95000,4500,5700,1742,1894,81164,0,12551,15101,3834,6038,37524,925,849,Medium
EMP02587,Anurag Pillai,29,4,Finance,82281,3228,4937,1654,1471,70991,15045,7985,0,5392,3162,31584,18823,4222,Medium
EMP02588,Sumit Narang,38,15,Sales,67462,1746,4048,1244,1930,58494,13805,9429,0,2578,2732,28544,17293,1962,Medium
EMP02589,Neha D'Souza,37,17,Operations,86047,3605,5163,1791,1648,73840,0,10671,13730,4739,3972,33112,14551,5705,Medium
EMP02590,Aarav Mathew,55,22,Data Science,152593,13852,9156,3230,1771,124584,27819,17815,0,2559,2842,51035,44029,4832,High
EMP02591,Garima Yadav,36,16,Cyber Security,150884,13510,9053,3494,1060,123767,27105,16878,0,4731,5959,54673,34787,7746,Medium
EMP02592,Preeti Pallavi Nair,33,7,IT,100441,5066,6026,2816,1706,84827,23716,12319,5423,8326,7352,57136,3158,2462,Medium
EMP02593,Shreya Jindal,28,3,Operations,55646,1116,3339,707,1447,49037,8467,6181,4118,1727,2133,22626,17371,1364,Medium
EMP02594,Nitin Shinde,32,6,HR,48208,744,2892,1160,1502,41910,7195,3063,3169,2502,1255,17184,16674,1552,High
EMP02595,Lakshay Soni,50,20,Finance,120095,8014,7206,2612,1340,100923,0,14578,24251,5329,5827,49985,22250,6014,Medium
EMP02596,Aman Nair,24,0,Marketing,50000,833,3000,1101,1979,43087,8355,4170,1949,2904,1300,18678,12974,2598,Medium
EMP02597,Shubham Yadav,54,38,Marketing,90000,4000,5400,1620,2203,76777,0,13270,26208,4564,3550,47592,14001,3176,Low
EMP02598,Ravi Sharma,27,3,Data Science,95062,4506,5704,1901,1888,81063,0,7381,0,5338,3090,15809,19925,23731,High
EMP02599,Yuvraj Ahuja,55,27,Finance,124336,8650,7460,3487,1399,103340,26329,14213,11059,6108,4744,62453,16132,4449,Medium
EMP02600,Yuvraj Kapoor,48,20,Finance,109233,6385,6554,2808,794,92692,0,17884,31139,7325,4653,61001,15087,3515,Medium
EMP02601,Lokesh Thomas,52,38,Data Science,170000,17500,10200,3801,1933,136566,0,18294,35788,7107,7308,68497,15412,26737,Medium
EMP02602,Tanvi Yadav,28,3,Marketing,52217,944,3133,1127,2396,44617,11935,7417,2034,3230,2230,26846,7690,1691,Medium
EMP02603,Rahul Ayaan Bhatia,51,33,Finance,130000,9500,7800,3906,1431,107363,0,12575,22240,5506,5963,46284,15763,26428,Medium
EMP02604,Sai Saurabh Shukla,56,35,Operations,95000,4500,5700,1714,1886,81200,0,11698,0,4958,3574,20230,21491,8863,High
EMP02605,Shreya Agarwal,37,11,Finance,99245,4924,5955,1773,1709,84884,0,11658,18538,5471,3310,38977,20119,3918,Medium
EMP02606,Rohit Sahu,48,18,Marketing,75075,2508,4504,1547,1172,65344,19480,10792,0,9175,5185,44632,3667,2691,Medium
EMP02607,Vivek Mohanty,58,27,Sales,85000,3500,5100,1544,1634,73222,15122,10440,0,4141,3999,33702,14089,5895,Medium
EMP02608,Tanvi Sahu,33,6,Data Science,106938,6041,6416,3961,1971,88549,26833,16037,8749,5907,4090,61616,12582,2606,Medium
EMP02609,Aman Rawat,57,29,Data Science,170000,17500,10200,2783,1581,137936,0,16622,0,4493,5610,26725,61572,9139,Medium
EMP02610,Pankaj Parmar,26,2,Marketing,51493,908,3090,1171,1426,44898,11771,6268,0,3953,3265,25257,7339,3014,Medium
EMP02611,Lokesh Lodha,46,28,IT,142151,11764,8529,3308,1288,117262,0,19395,21357,18029,10423,69204,7886,7191,Low
EMP02612,Siddharth Reddy,45,27,Operations,95000,4500,5700,1600,2235,80965,6450,13038,3345,5730,5155,33718,22793,4337,Medium
EMP02613,Khushi Bedi,41,20,HR,69775,1978,4186,2017,1641,59953,0,7702,15570,5250,2653,31175,14086,2327,Medium
EMP02614,Lakshay Chaudhary,36,10,Operations,68040,1804,4082,1846,2164,58144,14630,9547,4382,1642,4231,34432,259,927,Low
EMP02615,Rohit Rathore,27,7,Customer Support,40222,344,2413,1024,1823,34618,0,6524,1522,1222,1740,11008,82,119,Medium
EMP02616,Nandini More,33,11,Sales,61214,1394,3673,2007,1419,52721,12387,7079,0,3251,2439,25156,11386,3236,Medium
EMP02617,Atharv Pawar,26,3,Operations,57120,1189,3427,780,1296,50428,5078,7190,0,1150,1998,15416,24137,1861,Medium
EMP02618,Rohan Bhardwaj,38,18,Finance,107037,6056,6422,2420,802,91337,25011,17423,3929,6056,6017,58436,14028,3586,Medium
EMP02619,Siddharth Malhotra,43,24,Data Science,166869,16717,10012,3775,1953,134412,0,18671,39236,2575,6106,66588,46735,3166,Medium
EMP02620,Mohit Jain,57,36,Operations,95000,4500,5700,1639,2048,81113,0,10734,21342,7756,3701,43533,18540,3776,Medium
EMP02621,Kunal Wadhwa,31,8,IT,97514,4751,5851,2025,1066,83821,16854,11666,13677,2686,2651,47534,19331,3835,Medium
EMP02622,Vaishnavi Shubham Agarwal,24,3,Operations,60190,1343,3611,1914,1967,51355,4547,6636,0,6637,3454,21274,3037,4522,Medium
EMP02623,Kartik Jyoti Goel,57,26,Cyber Security,180000,20000,10800,3954,1496,143750,31722,19588,10286,8284,5080,74960,16054,31514,High
EMP02624,Bhavna Swain,45,15,IT,113470,7020,6808,3764,976,94902,27269,12483,0,13192,8114,61058,5070,3095,Medium
EMP02625,Ritika Mukherjee,29,6,Data Science,111876,6781,6713,2237,1957,94188,0,15396,0,5058,4249,24703,32445,5679,High
EMP02626,Prateek Kavya Nair,25,2,IT,84701,3470,5082,1559,2260,72330,8294,9358,0,5713,4396,27761,556,211,Medium
EMP02627,Ishita Sahu,58,33,Operations,95000,4500,5700,1470,1545,81785,21088,15107,8934,5907,5214,56250,9452,3821,Low
EMP02628,Kavya Saxena,39,16,Finance,105694,5854,6342,3845,1465,88188,17006,10676,0,1776,2468,31926,33889,3480,High
EMP02629,Priya Sakshi D'Souza,24,3,IT,89798,3980,5388,1548,1607,77275,0,5927,0,7178,3160,16265,19036,20406,High
EMP02630,Sakshi Khurana,33,10,HR,56359,1151,3382,1080,977,49769,13945,9241,0,2831,3613,29630,9561,2357,Medium
EMP02631,Prateek Rupal Thomas,31,6,Sales,51808,924,3108,896,1688,45192,2718,6243,4364,4649,2497,20471,3238,3329,Medium
EMP02632,Deepak Khushi Bohra,59,24,Cyber Security,166385,16610,9983,3926,1309,134557,8306,16489,0,3022,5082,32899,53730,9782,Medium
EMP02633,Sneha Kapoor,52,27,Sales,85000,3500,5100,1509,1829,73062,0,10744,19164,5378,4118,39404,13936,3268,Medium
EMP02634,Shivam Mishra,24,3,Sales,53312,999,3199,1016,1801,46297,0,5504,0,3759,2402,11665,15467,4425,High
EMP02635,Rishabh Tiwari,29,6,Finance,79840,2984,4790,1242,2018,68806,14943,10506,11117,3972,4463,45001,7946,8451,Medium
EMP02636,Shruti Behera,27,4,Sales,52547,961,3153,1057,1809,45567,9557,6376,2532,2261,1073,21799,14023,1886,High
EMP02637,Rishabh Pillai,36,13,Data Science,135839,10501,8150,2429,1539,113220,31426,20823,6684,6030,5302,70265,2405,180,Medium
EMP02638,Kunal Daga,44,25,Marketing,90000,4000,5400,1705,1331,77564,19217,10715,5021,2711,3764,41428,24895,1702,Medium
EMP02639,Dev Pandey,52,30,Operations,95000,4500,5700,2063,1550,81187,0,9953,0,7518,3195,20666,17370,23909,High
EMP02640,Tarun Trivedi,56,28,IT,150000,13333,9000,3890,1324,122453,25948,13980,12793,7005,4449,64175,33227,4067,Medium
EMP02641,Payal Mathew,53,38,Operations,95000,4500,5700,1978,1255,81567,0,13215,21135,4352,4184,42886,17162,3909,Medium
EMP02642,Aditya Trivedi,35,7,Sales,58024,1235,3481,905,1487,50916,4663,6597,2079,4878,2652,20869,11563,4378,High
EMP02643,Komal Bagri,57,22,IT,132784,9918,7967,3532,2100,109267,0,12010,27619,3906,3313,46848,41522,4525,Medium
EMP02644,Megha Akash Shinde,48,26,IT,149570,13247,8974,3895,1767,121687,6358,21023,0,2950,5907,36238,43518,8990,Medium
EMP02645,Shubham Iyer,53,29,Finance,130000,9500,7800,3142,1305,108253,0,16282,0,5909,7158,29349,32616,10764,High
EMP02646,Namrata Bansal,33,8,Finance,86342,3634,5181,2111,1857,73559,17453,9522,5729,3366,4463,40533,14140,3334,Medium
EMP02647,Garima Khanna,58,35,Sales,85000,3500,5100,1236,1971,73193,0,10094,16484,3434,3539,33551,12677,15254,Medium
EMP02648,Rakesh Thomas,42,19,Finance,105745,5862,6345,2285,1274,89979,18801,15486,3813,3812,2073,43985,24109,3558,High
EMP02649,Vivaan Ayush Sharma,55,24,Sales,82230,3223,4934,1252,1315,71506,0,10573,0,10449,5360,26382,7853,6081,Medium
EMP02650,Anjali Sabharwal,52,28,Marketing,90000,4000,5400,2183,1605,76812,0,11537,19809,12431,5395,49172,2998,3664,Low
EMP02651,Rahul Mundra,58,22,Sales,75909,2591,4555,1582,1689,65492,17194,7139,11485,7013,4089,46920,7434,1679,Low
EMP02652,Sumit Bhardwaj,39,18,Cyber Security,159605,15254,9576,3146,1849,129780,6901,17820,0,6717,7260,38698,43933,7192,High
EMP02653,Tushar Tiwari,27,4,IT,91191,4119,5471,1223,948,79430,17948,11248,0,4128,5258,38582,20405,4443,Medium
EMP02654,Lokesh Nair,51,38,HR,70000,2000,4200,1352,1661,60787,13324,9381,3335,4595,3435,34070,10188,3912,Medium
EMP02655,Sumit Rajput,45,17,Finance,107571,6136,6454,3368,1479,90134,21272,13889,6860,3922,4524,50467,9684,16531,Medium
EMP02656,Vikram Goel,38,18,IT,125940,8891,7556,2302,2270,104921,25211,12977,0,7189,4800,50177,10957,21263,Medium
EMP02657,Ashish Maheshwari,58,32,Sales,85000,3500,5100,1876,1818,72706,0,12530,24045,3015,4269,43859,2481,723,Low
EMP02658,Ravi Agarwal,28,6,Data Science,105658,5849,6339,3499,1132,88839,5936,9291,10490,12726,5281,43724,10442,3895,Medium
EMP02659,Khushi Shruti Das,39,13,Cyber Security,143332,12000,8600,2789,1620,118323,28687,17447,0,8671,5498,60303,21389,6872,Medium
EMP02660,Divya Rohit Pradhan,53,36,Customer Support,60000,1333,3600,1396,1362,52309,10195,6978,1692,1312,2237,22414,20918,1541,High
EMP02661,Namrata Ayaan Roy,53,37,Data Science,170000,17500,10200,3802,2432,136066,32610,17288,0,9455,8361,67714,18893,24799,High
EMP02662,Palak Chatterjee,27,5,Finance,81770,3177,4906,1879,1230,70578,0,11375,15095,11141,5370,42981,6746,3162,Low
EMP02663,Gaurav D'Souza,55,30,HR,70000,2000,4200,2035,1322,60443,4445,9599,0,4220,3674,21938,14359,3665,Medium
EMP02664,Divya Payal Sahu,24,1,IT,83061,3306,4984,1261,2093,71417,0,5694,4085,5194,3332,18305,31511,4701,High
EMP02665,Ankit Rawat,46,28,IT,144082,12150,8645,2664,2040,118583,0,10443,22157,8614,3168,44382,49967,5800,Medium
EMP02666,Saurabh Bose,42,25,Sales,85000,3500,5100,1343,1872,73185,21233,10787,0,4864,5364,42248,12731,3432,Medium
EMP02667,Mayank Saxena,35,12,Data Science,128567,9285,7714,2351,997,108220,0,14692,34016,7257,5237,61202,19105,4265,Medium
EMP02668,Shivam Pillai,30,4,Sales,48261,746,2896,749,1559,42311,10620,4405,0,3541,1083,19649,15780,1460,Medium
EMP02669,Neha Banerjee,25,2,Product Management,133936,10121,8036,2376,1906,111497,0,13472,0,10388,6404,30264,23151,30706,High
EMP02670,Harsh Naidu,37,16,Marketing,75232,2523,4514,1558,1112,65525,0,8728,0,3957,2871,15556,24393,4249,Medium
EMP02671,Megha Gill,39,10,Customer Support,44376,552,2663,1014,1514,38633,9491,5477,4085,1372,1253,21678,8889,1289,Medium
EMP02672,Divya Kapoor,45,17,Operations,79372,2937,4762,1559,2078,68036,8043,9547,0,1407,2662,21659,32269,2444,High
EMP02673,Gaurav Lakhotia,37,13,IT,113280,6992,6797,2860,2281,94350,0,12332,18631,3959,3963,38885,38757,3598,Medium
EMP02674,Aisha Kulkarni,25,3,Data Science,95621,4562,5737,1649,1571,82102,23469,9058,0,8876,4054,45457,16351,3054,Medium
EMP02675,Saurabh Fernandes,48,20,Marketing,84246,3425,5055,1292,2433,72041,19290,12855,0,3397,3559,39101,1837,390,Medium
EMP02676,Rahul Goel,25,0,HR,40000,333,2400,1150,1440,34677,7698,4776,0,2461,1408,16343,7193,1995,Medium
EMP02677,Charu Khanna,28,6,Sales,53178,992,3191,866,2146,45983,15675,6609,0,6446,3974,32704,2709,1793,Low
EMP02678,Khushi Amit Wadhwa,51,35,Finance,130000,9500,7800,2245,2306,108149,0,12706,27230,9740,5428,55104,21116,6297,Medium
EMP02679,Tushar Mathew,58,38,Operations,95000,4500,5700,1321,2318,81161,21341,14652,4918,6546,3701,51158,14377,3825,Medium
EMP02680,Charu Mohanty,45,15,Finance,100221,5033,6013,3332,1138,84705,19706,11891,7248,4017,2184,45046,21831,4270,High
EMP02681,Payal Kulkarni,48,22,Finance,116579,7487,6995,2794,1076,98227,28559,17212,0,7030,6514,59315,15853,4885,Medium
EMP02682,Akash Shinde,44,22,IT,129734,9460,7784,3481,1314,107695,0,17060,0,16122,10620,43802,6813,8775,Medium
EMP02683,Vidhi Patel,40,15,Finance,106487,5973,6389,3995,1205,88925,7981,16893,0,5942,4230,35046,25786,6249,Medium
EMP02684,Trisha Chopra,33,12,IT,105193,5779,6312,3148,2119,87835,18300,9794,0,7799,3947,39840,23873,5611,Medium
EMP02685,Lakshay Banerjee,25,1,IT,84254,3425,5055,1325,1368,73081,0,7607,0,6700,2890,17197,24458,4935,High
EMP02686,Nisha Reema Agarwal,35,12,Marketing,71486,2149,4289,1201,2057,61790,16806,8055,7287,6491,3316,41955,9506,1876,Medium
EMP02687,Tarun Daga,32,9,Marketing,60359,1351,3622,1835,1296,52255,0,9048,0,2653,2366,14067,17547,4795,High
EMP02688,Aisha Aisha Chaudhary,53,22,Operations,94237,4424,5654,1262,1248,81649,0,11692,2621,2463,4093,20869,34587,5998,Medium
EMP02689,Swati Bedi,57,26,Customer Support,60000,1333,3600,1606,2188,51273,14302,7872,0,1437,3896,27507,406,200,Medium
EMP02690,Vivaan Goel,38,10,Operations,68893,1889,4134,2154,1803,58913,13556,9308,0,1915,2604,27383,21518,1772,Medium
EMP02691,Preeti Khandelwal,23,0,IT,80000,3000,4800,1476,2153,68571,0,7361,7767,5507,3323,23958,13743,14871,High
EMP02692,Aditya Rajat Pandey,39,15,Data Science,128742,9311,7725,2338,1296,108072,29441,13629,5596,6343,4731,59740,10740,19347,Medium
EMP02693,Shreya Dubey,47,26,IT,149975,13328,8998,3800,1348,122501,30554,16935,3781,7035,7551,65856,26041,6046,Medium
EMP02694,Lokesh Shruti Wadhwa,49,25,HR,65202,1593,3912,2175,1266,56256,0,9572,9121,2289,2702,23684,16351,2526,Medium
EMP02695,Dev Dubey,55,29,Operations,95000,4500,5700,1944,1417,81439,0,12011,16429,5120,4539,38099,13607,14398,Medium
EMP02696,Garima Pradhan,23,2,Operations,50000,833,3000,836,1600,43731,0,3713,0,3358,1079,8150,24340,2120,Medium
EMP02697,Sakshi Bedi,37,13,Customer Support,49449,806,2967,1017,1624,43035,0,5748,14590,1853,2054,24245,12080,1154,Medium
EMP02698,Vivek Tiwari,59,30,Customer Support,60000,1333,3600,1633,1812,51622,13097,6759,2579,2717,2769,27921,1218,355,Medium
EMP02699,Tanvi Kulkarni,24,0,Finance,71768,2177,4306,1632,1424,62229,0,6636,0,4600,2773,14009,13815,13990,High
EMP02700,Megha Patel,35,9,IT,99579,4958,5975,1539,1400,85707,22132,11268,0,3546,2685,39631,31964,2327,High
EMP02701,Aarav Saxena,24,2,Sales,48989,783,2939,1128,1522,42617,3230,6045,0,6257,4050,19582,2688,2831,Medium
EMP02702,Megha Neha Bansal,46,27,IT,150000,13333,9000,2465,1411,123791,35173,18271,0,5003,5437,63884,3472,2323,Medium
EMP02703,Prachi Sai Chatterjee,48,20,IT,124204,8631,7452,3036,1502,103583,0,9809,33308,9965,4723,57805,21961,4436,Low
EMP02704,Preeti Reddy,51,29,IT,145579,12449,8735,3679,1788,118928,28146,20296,0,9600,7932,65974,26262,4213,Medium
EMP02705,Saurabh Verma,36,17,Cyber Security,141350,11603,8481,3058,1297,116911,0,15640,0,3714,4596,23950,54394,6023,Medium
EMP02706,Vivek Narang,34,8,Finance,89069,3907,5344,1481,1575,76762,0,7567,0,6348,3158,17073,16510,19333,High
EMP02707,Avantika Manish Bhardwaj,49,23,Marketing,90000,4000,5400,1548,2254,76798,0,11559,14631,6199,4648,37037,19616,4377,Medium
EMP02708,Kartik Vivek Saxena,37,14,HR,58568,1262,3514,1083,1768,50941,10844,8168,2260,3695,2486,27453,11127,2772,Medium
EMP02709,Kartik Tiwari,36,17,Data Science,142680,11869,8561,3827,1379,117044,0,20672,22138,7997,6471,57278,23653,7095,Medium
EMP02710,Sakshi Das,27,3,Data Science,97443,4744,5847,2013,1397,83442,7363,8531,0,6631,4852,27377,25227,7143,High
EMP02711,Yash Shinde,46,15,Finance,103981,5597,6239,3470,1924,86751,20543,12078,10062,5535,4617,52835,6859,11862,Medium
EMP02712,Vidhi Rawat,56,35,Sales,85000,3500,5100,2046,2121,72233,21471,12517,0,12706,4627,51321,3645,2704,Low
EMP02713,Swati Iyer,44,24,IT,139129,11159,8348,3896,1903,113823,26262,18509,5182,8326,5028,63307,19619,7043,Medium
EMP02714,Charu Rashmi Bhardwaj,34,6,Marketing,59246,1296,3555,1138,2004,51253,15559,7018,4250,5077,3262,35166,5851,1715,Medium
EMP02715,Akash Bohra,56,33,IT,150000,13333,9000,3739,2132,121796,0,19883,32353,9389,6908,68533,21063,4966,Medium
EMP02716,Aakash Gupta,29,7,Marketing,59868,1327,3592,1075,1174,52700,3077,5624,0,5055,3066,16822,17866,3817,High
EMP02717,Vaishnavi Pawar,43,16,Sales,72093,2209,4326,1353,1500,62705,20380,9511,0,11945,5670,47506,3351,2331,Low
EMP02718,Riya Khandelwal,32,7,Sales,58451,1256,3507,845,1721,51122,3706,8146,0,3667,3168,18687,10574,12541,High
EMP02719,Tanvi Lakhotia,58,25,Data Science,168309,17077,10099,3117,1598,136418,0,19995,29335,2931,3241,55502,41842,9671,Medium
EMP02720,Tushar Shivam Saxena,44,28,HR,70000,2000,4200,1602,1506,60692,16121,11154,0,3645,3147,34067,11281,2665,Medium
EMP02721,Gaurav Das,23,1,HR,40092,338,2406,897,2112,34339,10054,3463,2343,2266,2132,20258,467,222,Medium
EMP02722,Priya Pandey,52,34,Marketing,90000,4000,5400,1210,1059,78331,0,10529,0,1729,2246,14504,33046,4883,High
EMP02723,Mansi Ghosh,59,30,Marketing,90000,4000,5400,1818,1743,77039,18097,11959,2980,2419,3594,39049,26351,1870,Medium
EMP02724,Saurabh Ayush Lodha,43,17,Operations,85796,3580,5148,2027,1151,73890,18729,12744,0,3033,2062,36568,19218,3501,High
EMP02725,Avantika Iyer,42,25,Marketing,87734,3773,5264,1469,1922,75306,0,7726,16331,7931,4727,36715,15725,4499,Medium
EMP02726,Yuvraj Patel,25,3,Marketing,53785,1023,3227,1064,1019,47452,0,5323,0,4907,2866,13096,15762,2865,Medium
EMP02727,Nisha Ghosh,23,2,Data Science,98677,4868,5921,1430,1272,85186,21502,8781,5577,6777,5615,48252,13364,5606,Medium
EMP02728,Ayush Rawat,48,26,Sales,85000,3500,5100,2168,1980,72252,19125,12764,8727,5319,3891,49826,10901,2433,Medium
EMP02729,Shruti Somani,42,27,Finance,130000,9500,7800,3998,1838,106864,0,17576,32813,7490,6353,64232,21185,4877,Low
EMP02730,Kavya Mittal,22,3,Sales,52695,968,3162,834,1104,46627,14437,7010,2299,7839,4386,35971,2110,1432,Low
EMP02731,Ishaan Kapoor,31,11,IT,108951,6343,6537,2337,1025,92709,0,13811,24139,2023,2180,42153,28159,3367,Medium
EMP02732,Prateek Lakshay Jindal,38,12,Finance,93842,4384,5631,2196,2207,79424,0,10399,23562,3175,2336,39472,27155,2592,Medium
EMP02733,Rohit Bansal,30,2,Finance,76480,2648,4589,2099,1048,66096,0,11878,0,4158,4138,20174,16808,5066,High
EMP02734,Yuvraj Mohanty,33,10,Finance,91341,4134,5480,2060,2282,77385,22444,9674,3932,6283,5533,47866,213,989,Low
EMP02735,Neha Naidu,60,23,Data Science,150991,13532,9059,3875,1584,122941,0,19801,33495,14527,13270,81093,8373,5442,Low
EMP02736,Saloni Pawar,23,3,Cyber Security,103179,5477,6191,3403,2199,85909,8845,8773,10118,5840,3228,36804,27736,5298,Medium
EMP02737,Pooja Lakhotia,58,33,Operations,95000,4500,5700,1457,1318,82025,0,11660,16591,4381,3263,35895,11941,13881,Medium
EMP02738,Neha Chaudhary,22,1,Sales,46018,634,2761,807,1633,40183,14273,7427,0,4921,3242,29863,2420,1203,Low
EMP02739,Abhishek Bose,33,12,Data Science,119615,7942,7177,2548,1744,100204,24578,11608,0,7212,5512,48910,1702,1256,Medium
EMP02740,Ishaan Bagri,37,10,IT,106071,5911,6364,3702,1366,88728,23191,13481,3779,5057,3379,48887,15810,4009,Medium
EMP02741,Reema Porwal,23,2,Marketing,55844,1126,3351,1177,1625,48565,12141,5312,4188,4430,2947,29018,7596,2792,Medium
EMP02742,Atharv Shinde,29,3,Marketing,53228,995,3194,891,1355,46793,10505,6925,0,3215,2804,23449,8353,3568,Medium
EMP02743,Yash Somani,54,22,HR,63191,1493,3791,1440,1806,54661,0,7301,0,6015,2607,15923,17157,5158,High
EMP02744,Hemant Ritika Suri,49,15,IT,117541,7631,7052,2860,2304,97694,24434,15306,0,7030,3953,50723,16899,6324,Medium
EMP02745,Riya Iyer,42,17,Finance,109536,6430,6572,3398,1570,91566,0,10290,23285,3079,3934,40588,35082,3120,Medium
EMP02746,Ishita Sabharwal,42,23,IT,131850,9778,7911,2667,1248,110246,0,18873,27172,2781,3557,52383,39956,3838,Medium
EMP02747,Ananya Mehta,60,29,IT,150000,13333,9000,2538,1220,123909,26741,21006,0,8083,6243,62073,19262,24328,High
EMP02748,Megha Pawar,34,7,Sales,59149,1291,3549,1096,1540,51673,0,5894,4935,4833,3220,18882,12474,4360,Medium
EMP02749,Abhishek Lakhotia,33,10,IT,105073,5761,6304,3276,1400,88332,23046,10173,9188,15684,6604,64695,3097,2147,Low
EMP02750,Mansi Bedi,32,12,Sales,63230,1495,3794,1576,1184,55181,0,8146,0,6500,5099,19745,7500,3333,Medium
EMP02751,Mansi Mehta,46,19,Sales,70605,2060,4236,2157,1686,60466,0,8687,19785,8773,5178,42423,2262,2116,Low
EMP02752,Jyoti Sumit Srivastava,27,3,Marketing,55786,1123,3347,1138,1207,48971,8830,7399,0,1103,1126,18458,19261,1962,Medium
EMP02753,Prachi More,30,3,Marketing,53580,1012,3215,961,1187,47205,11334,6557,2635,4002,2828,27356,7590,2735,Medium
EMP02754,Palak Porwal,35,8,Data Science,112763,6914,6766,3438,1794,93851,0,13437,25888,9841,5914,55080,16515,3602,Low
EMP02755,Pallavi Arora,29,4,Data Science,104726,5709,6284,3063,1476,88194,0,11065,27472,13430,7797,59764,5372,3459,Low
EMP02756,Lokesh More,58,23,IT,131439,9716,7886,3543,2154,108140,0,15305,33816,6027,6851,61999,16352,4901,Medium
EMP02757,Mayank Yadav,24,3,Customer Support,41875,427,2512,834,2312,35790,0,4761,0,2716,1730,9207,1789,935,Medium
EMP02758,Parth Jindal,44,27,Sales,85000,3500,5100,1255,1680,73465,0,10505,23425,3179,4638,41747,547,649,Low
EMP02759,Kartik Joshi,35,9,Finance,86824,3682,5209,1567,2054,74312,0,10396,16763,4414,3508,35081,11416,16277,Medium
EMP02760,Amit Saini,52,23,Finance,124259,8639,7456,3549,1737,102878,0,16188,0,7449,7059,30696,29186,9010,High
EMP02761,Aditya Ahuja,41,19,Data Science,146565,12646,8794,3293,1273,120559,0,19948,24365,8800,8083,61196,26106,7248,Medium
EMP02762,Prateek Mundra,59,37,Customer Support,60000,1333,3600,2189,1884,50994,0,7162,0,3246,2930,13338,13483,4443,High
EMP02763,Bhavna Srivastava,23,0,Marketing,50960,881,3058,1142,1352,44527,4407,5766,0,6829,3695,20697,4194,2424,Medium
EMP02764,Vihaan Iyer,47,16,Operations,78583,2858,4715,2190,1902,66918,13517,9225,0,2361,1831,26934,23780,3545,High
EMP02765,Ayaan Sandhu,40,14,IT,113505,7026,6810,2379,1770,95520,24764,13276,0,6212,4538,48790,19429,6052,Medium
EMP02766,Harsh Rohit Menon,26,6,Marketing,60781,1372,3647,1993,1309,52460,10949,6269,3138,2579,2003,24938,8534,9616,High
EMP02767,Pallavi Srivastava,55,34,Sales,85000,3500,5100,2057,1665,72678,0,11339,21412,10495,7457,50703,2606,3270,Low
EMP02768,Rajat Shinde,50,16,IT,113425,7014,6806,3682,1550,94373,20907,14906,0,6228,6074,48115,18071,4518,Medium
EMP02769,Dhruv Mehta,43,23,Sales,78154,2815,4689,1449,1142,68059,22447,9281,0,11464,4145,47337,2121,2139,Medium
EMP02770,Nisha Das,60,37,Sales,85000,3500,5100,1270,2070,73060,0,10830,0,2803,1942,15575,39361,3939,Medium
EMP02771,Ayaan Sabharwal,34,11,Sales,63814,1524,3829,1811,1908,54742,15093,8984,0,3779,3911,31767,11303,2567,Medium
